SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
26,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,15-06-2024 22:30,19.5
27,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,04-07-2024 23:30,0.5
28,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,10-07-2024 05:30,16
29,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,11-07-2024 07:30,51
30,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,12-07-2024 05:30,0.5
31,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,12-07-2024 14:30,39
32,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,12-07-2024 16:30,3
33,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,12-07-2024 19:30,0.5
34,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,12-07-2024 21:30,10
35,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,12-07-2024 22:30,46
36,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,12-07-2024 23:30,1
37,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,13-07-2024 16:30,257
38,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,13-07-2024 20:30,1
39,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,13-07-2024 22:30,0.5
40,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,14-07-2024 12:30,160
41,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,14-07-2024 18:30,58
42,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,14-07-2024 21:30,192
43,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,18-07-2024 15:30,73
44,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,18-07-2024 17:30,0.5
45,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,18-07-2024 18:30,1
46,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,18-07-2024 19:30,3.5
47,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,18-07-2024 20:30,2
48,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,18-07-2024 22:30,3
49,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,18-07-2024 23:30,3
50,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,19-07-2024 05:30,0.5
51,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,19-07-2024 06:30,3.5
52,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,19-07-2024 07:30,1.5
53,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,19-07-2024 10:30,0.5
54,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,19-07-2024 11:30,1
