SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
7596,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,30-04-2023 23:00,4
7597,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,01-05-2023 00:00,3
7598,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,01-05-2023 01:00,24.5
7599,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,01-05-2023 02:00,95.5
7600,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,01-05-2023 03:00,36
7601,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,01-05-2023 04:00,29.5
7602,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,01-05-2023 05:00,9
7603,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,01-05-2023 06:00,3
7604,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,01-05-2023 07:00,3
7605,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,02-05-2023 07:00,22
7606,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,02-05-2023 08:00,0.5
7607,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,02-05-2023 09:00,0.5
7608,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,02-05-2023 12:00,7.5
7609,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,03-05-2023 06:00,14.5
7610,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,03-05-2023 07:00,1.5
7611,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,03-05-2023 10:00,54
7612,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,03-05-2023 11:00,24
7613,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,04-05-2023 12:00,0.5
7614,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,06-05-2023 13:00,22
7615,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,19-05-2023 20:00,1.5
7616,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,19-05-2023 21:00,1.5
7617,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,20-05-2023 12:00,3
7618,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,20-05-2023 13:00,3
7619,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,29-05-2023 11:00,12
7620,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,29-05-2023 12:00,28.5
7621,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,29-05-2023 13:00,28.5
7622,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,30-05-2023 07:00,1.5
7623,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,30-05-2023 08:00,1.5
7624,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,03-06-2023 23:00,1.5
7625,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,04-06-2023 15:00,7.5
7626,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,04-06-2023 17:00,1.5
7627,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,04-06-2023 18:00,1.5
7628,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,04-06-2023 20:00,5
7629,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,04-06-2023 21:00,1.5
7630,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,10-06-2023 02:00,3
7631,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,20-06-2023 14:00,1
7632,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-06-2023 02:00,1.5
7633,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-06-2023 05:00,0.5
7634,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-06-2023 07:00,1
7635,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-06-2023 08:00,1
7636,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-06-2023 11:00,0.5
7637,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-06-2023 18:00,1
7638,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-06-2023 22:00,9
7639,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-06-2023 23:00,9
7640,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-06-2023 00:00,9
7641,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-06-2023 01:00,2
7642,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-06-2023 02:00,3
7643,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-06-2023 03:00,1
7644,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-06-2023 06:00,0.5
7645,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-06-2023 19:00,139
7646,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-06-2023 20:00,1.5
7647,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,26-06-2023 06:00,179
7648,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,03-07-2023 11:00,25
7649,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,03-07-2023 12:00,16.5
7650,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,03-07-2023 13:00,5
7651,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,03-07-2023 14:00,192
7652,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,04-07-2023 17:00,10
7653,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,05-07-2023 17:00,0.5
7654,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,05-07-2023 19:00,10
7655,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,05-07-2023 20:00,6.5
7656,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,05-07-2023 21:00,10.5
7657,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,05-07-2023 22:00,10.5
7658,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,05-07-2023 23:00,18
7659,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,06-07-2023 00:00,18.5
7660,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,06-07-2023 01:00,7
7661,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,06-07-2023 02:00,3
7662,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,06-07-2023 03:00,2
7663,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,06-07-2023 04:00,1
7664,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,12-07-2023 09:00,19
7665,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,13-07-2023 03:00,51
7666,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,13-07-2023 04:00,51
7667,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,13-07-2023 05:00,15.5
7668,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,13-07-2023 06:00,13.5
7669,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,13-07-2023 07:00,13.5
7670,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,13-07-2023 08:00,1
7671,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,13-07-2023 09:00,1
7672,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,15-07-2023 01:00,2
7673,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,15-07-2023 22:00,1
7674,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,17-07-2023 00:00,2.5
7675,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,18-07-2023 03:00,1.5
7676,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,18-07-2023 04:00,4.5
7677,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,18-07-2023 05:00,0.5
7678,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,18-07-2023 06:00,1.5
7679,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,18-07-2023 07:00,3
7680,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,18-07-2023 08:00,2.5
7681,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,18-07-2023 09:00,2
7682,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,18-07-2023 10:00,2
7683,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,18-07-2023 11:00,4
7684,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,18-07-2023 12:00,4
7685,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,19-07-2023 06:00,1.5
7686,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,20-07-2023 01:00,3
7687,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,20-07-2023 02:00,3
7688,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,20-07-2023 03:00,13
7689,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,20-07-2023 04:00,9.5
7690,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,20-07-2023 05:00,3
7691,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,20-07-2023 06:00,6
7692,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,20-07-2023 07:00,1
7693,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,20-07-2023 08:00,1.5
7694,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,20-07-2023 09:00,0.5
7695,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,22-07-2023 11:00,1.5
7696,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,22-07-2023 12:00,1
7697,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,23-07-2023 00:00,1
7698,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,23-07-2023 23:00,1.5
7699,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-07-2023 02:00,6.5
7700,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-07-2023 03:00,10
7701,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-07-2023 04:00,12.5
7702,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-07-2023 05:00,19
7703,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-07-2023 06:00,9
7704,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-07-2023 07:00,11
7705,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-07-2023 08:00,8.5
7706,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-07-2023 10:00,25.5
7707,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-07-2023 11:00,0.5
7708,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-07-2023 12:00,5.5
7709,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,24-07-2023 13:00,0.5
7710,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-07-2023 13:00,12
7711,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-07-2023 14:00,3
7712,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-07-2023 17:00,1
7713,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-07-2023 18:00,2
7714,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-07-2023 19:00,5.5
7715,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-07-2023 20:00,7.5
7716,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-07-2023 21:00,10.5
7717,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,25-07-2023 22:00,10.5
7718,Dowlaiswaram (State Govt Site),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,16.93833333,81.78250000,26-07-2023 00:00,12
